timestamp,user,width,distance,time(ms),offsetX,offsetY,misses
2014-04-24 18:40:29,3,60,170,668,12,8,0
2014-04-24 18:40:30,3,35,450,603,-3,4,0
2014-04-24 18:40:31,3,170,300,470,-33,-11,0
2014-04-24 18:40:32,3,170,170,454,15,-6,0
2014-04-24 18:40:33,3,35,170,533,4,-1,0
2014-04-24 18:40:34,3,170,450,384,33,4,0
2014-04-24 18:40:35,3,170,170,547,-11,7,1
2014-04-24 18:40:35,3,60,300,482,25,2,0
2014-04-24 18:40:36,3,100,300,387,-38,1,0
2014-04-24 18:40:37,3,60,170,391,21,12,0
2014-04-24 18:40:38,3,170,300,324,10,-1,0
2014-04-24 18:40:38,3,35,300,301,-10,-10,0
2014-04-24 18:40:39,3,170,170,509,-6,-6,1
2014-04-24 18:40:40,3,170,450,486,-58,0,0
2014-04-24 18:40:41,3,100,450,440,40,-11,0
2014-04-24 18:40:42,3,60,450,484,12,-4,0
2014-04-24 18:40:42,3,170,450,424,49,5,0
2014-04-24 18:40:43,3,35,450,534,-2,8,0
2014-04-24 18:40:44,3,100,300,544,49,8,0
2014-04-24 18:40:45,3,35,300,512,-5,9,0
2014-04-24 18:40:46,3,60,450,776,-3,0,0
2014-04-24 18:40:48,3,35,170,751,8,4,0
2014-04-24 18:40:49,3,60,170,530,20,13,0
2014-04-24 18:40:49,3,100,170,308,-32,9,0
2014-04-24 18:40:50,3,170,700,565,1,-22,0
2014-04-24 18:40:52,3,100,450,649,-30,-7,0
2014-04-24 18:40:53,3,35,700,913,14,5,0
2014-04-24 18:40:54,3,35,700,674,8,5,0
2014-04-24 18:40:55,3,170,700,486,8,6,0
2014-04-24 18:40:56,3,100,700,635,5,4,0
2014-04-24 18:40:57,3,100,700,521,-34,-15,0
2014-04-24 18:40:59,3,60,170,976,-2,8,0
2014-04-24 18:41:00,3,100,300,470,-7,2,0
2014-04-24 18:41:01,3,100,170,500,-42,4,0
2014-04-24 18:41:01,3,170,700,548,43,-18,0
2014-04-24 18:41:02,3,100,170,469,12,4,0
2014-04-24 18:41:03,3,60,700,642,-3,-6,0
2014-04-24 18:41:04,3,60,300,491,6,0,0
2014-04-24 18:41:05,3,35,170,529,0,2,0
2014-04-24 18:41:06,3,35,700,664,0,2,0
2014-04-24 18:41:07,3,60,300,556,-1,-8,0
2014-04-24 18:41:08,3,60,700,650,-8,9,0
2014-04-24 18:41:10,3,60,700,752,-7,8,0
2014-04-24 18:41:11,3,100,700,526,-30,-10,0
2014-04-24 18:41:11,3,60,450,400,7,-7,0
2014-04-24 18:41:13,3,100,700,609,-7,-7,0
2014-04-24 18:41:14,3,60,700,694,-20,3,0
2014-04-24 18:41:16,3,35,450,1261,7,-2,2
2014-04-24 18:41:17,3,60,450,743,17,3,1
2014-04-24 18:41:18,3,35,300,692,5,1,0
2014-04-24 18:41:19,3,100,450,442,24,9,0
2014-04-24 18:41:20,3,35,700,682,2,4,0
2014-04-24 18:41:21,3,35,170,763,10,8,0
2014-04-24 18:41:22,3,170,300,335,-24,-3,0
2014-04-24 18:41:22,3,100,170,319,3,5,0
2014-04-24 18:41:23,3,170,170,512,17,-2,1
2014-04-24 18:41:24,3,170,450,747,-15,-27,1
2014-04-24 18:41:25,3,35,450,661,-6,-3,0
2014-04-24 18:41:26,3,100,300,361,-25,0,0
2014-04-24 18:41:27,3,35,300,493,0,2,0
2014-04-24 18:41:27,3,60,300,363,8,3,0
2014-04-24 18:41:28,3,100,450,706,-35,-4,1
2014-04-24 18:41:29,3,170,300,519,28,7,1
2014-04-24 18:41:30,3,170,700,376,37,16,0
