479,482,536
488,492,540
511,530,544
542,590,536
575,658,504
649,722,448
773,740,426
898,746,406
920,784,394
865,824,380
633,864,420
391,864,502
158,812,610
104,622,716
104,326,860
104,116,880
104,228,698
104,324,654
104,322,580
104,364,506
144,452,496
223,552,516
312,660,512
400,766,496
479,888,490
603,920,480
772,920,482
916,920,458
920,920,404
920,918,384
823,882,384
640,822,388
457,762,428
227,672,512
104,514,642
104,278,790
104,106,868
104,104,808
104,154,750
104,214,700
106,262,606
183,366,534
268,480,514
338,578,514
400,664,510
466,748,512
551,848,504
724,918,502
875,918,452
920,920,400
920,900,368
868,844,374
709,808,382
565,764,402
395,708,474
202,646,570
104,472,726
104,122,788
104,104,794
104,116,776
104,172,732
104,194,658
141,260,560
234,376,512
350,548,510
410,620,510
461,694,510
514,782,510
616,874,500
767,906,482
907,910,442
920,910,392
920,880,390
820,832,382
674,792,390
528,770,432
322,734,536
111,600,646
104,298,716
104,104,748
104,122,738
104,190,710
104,226,650
160,284,566
240,370,520
310,468,518
366,554,518
412,626,512
461,698,508
516,776,506
605,856,492
759,886,460
899,862,458
920,870,448
920,858,418
839,826,406
775,818,410
659,790,424
659,790,424
109,492,628
104,170,688
104,104,748
104,140,736
104,196,700
104,202,646
109,240,562
198,340,506
287,430,510
342,526,514
396,592,512
444,668,510
493,756,514
593,848,512
735,862,486
849,858,464
919,866,440
907,842,408
803,808,398
693,794,400
587,788,418
427,784,482
149,730,592
104,482,676
104,168,706
104,104,714
104,154,678
104,240,662
104,280,630
150,314,560
224,392,518
279,452,524
350,574,526
408,638,522
458,708,518
524,798,498
652,858,460
773,854,458
877,852,456
920,866,442
920,856,418
877,836,394
738,834,402
563,828,432
376,788,480
156,720,568
104,480,670
104,170,686
104,162,686
104,204,678
104,238,654
104,262,606
147,320,548
230,410,524
298,490,512
357,564,510
410,634,512
465,708,514
536,784,514
628,842,498
731,878,476
869,870,452
919,876,426
920,856,396
857,846,378
714,834,394
524,850,454
250,798,524
104,582,604
104,256,670
104,104,746
104,154,748
104,222,712
104,228,662
104,248,598
142,334,536
227,434,510
292,516,510
344,590,516
438,710,510
497,782,506
556,854,508
638,916,510
802,920,454
919,914,392
920,900,380
920,872,382
814,852,378
679,862,374
501,862,436
222,848,550
104,618,648
104,252,706
104,122,756
104,144,746
104,204,720
104,256,674
104,288,600
182,360,544
284,488,524
340,568,512
388,644,494
435,730,488
495,826,490
595,892,490
723,918,468
886,908,408
920,916,356
920,894,350
899,882,382
776,880,388
642,874,398
450,910,464
167,910,602
104,618,718
104,154,700
104,124,728
104,226,696
104,302,664
104,288,608
134,314,546
134,314,546
202,394,522
291,558,520
361,628,512
418,702,506
470,766,502
524,828,498
605,894,492
743,908,452
897,896,416
920,898,404
920,878,386
880,860,380
749,864,378
626,858,396
282,920,546
104,772,648
104,274,678
104,104,710
104,160,720
104,264,688
104,282,658
104,270,606
135,310,540
205,398,514
282,484,516
347,554,522
399,608,518
446,660,514
489,722,510
529,798,516
602,882,532
748,908,506
900,886,458
920,882,380
920,858,386
807,858,394
667,864,402
505,888,454
242,916,562
104,722,660
104,228,668
104,104,698
104,160,714
104,254,684
104,288,632
105,292,570
168,352,520
231,432,522
287,510,532
340,582,526
398,648,514
467,744,510
527,836,512
644,884,498
757,894,486
898,892,450
920,902,438
920,884,408
903,868,394
765,872,384
579,902,424
342,890,510
122,818,590
104,494,640
104,112,656
104,106,676
104,184,672
104,266,648
104,264,620
106,282,568
206,414,516
285,510,522
356,586,534
417,650,530
464,722,526
537,812,524
642,884,520
784,920,512
917,918,456
920,920,408
920,898,380
831,852,392
676,822,408
546,788,428
399,756,476
161,710,582
104,486,674
104,210,716
104,132,744
104,140,724
104,246,666
104,292,602
156,336,548
210,410,524
265,488,514
321,576,502
382,652,492
435,718,486
492,790,482
558,846,484
649,894,492
800,908,470
918,918,422
920,902,368
920,872,352
811,858,382
558,832,408
380,844,456
115,766,582
104,412,654
104,114,712
104,112,754
104,180,710
104,210,664
104,218,630
105,280,586
179,386,550
251,474,526
318,548,520
384,618,520
440,692,522
486,784,524
575,874,520
643,908,516
773,918,492
773,918,492
920,886,394
885,860,404
747,866,382
601,880,412
390,918,512
126,832,614
104,536,666
104,156,694
104,106,698
104,204,662
104,288,654
104,292,620
105,300,550
174,378,494
252,476,490
327,552,498
394,610,498
444,670,498
487,732,500
548,820,506
622,876,508
753,900,496
906,866,476
920,852,438
920,838,398
846,846,406
694,860,416
561,886,444
355,918,504
110,862,588
104,414,602
104,104,628
104,140,680
104,246,666
104,316,628
104,290,592
110,336,526
180,434,506
259,526,500
332,602,502
392,674,500
448,754,510
506,858,536
627,918,558
782,920,534
909,920,446
920,918,406
920,898,388
891,862,382
751,844,386
600,838,416
429,832,474
175,810,578
104,532,664
104,122,676
104,118,718
104,184,730
104,248,666
104,248,620
105,296,564
179,398,544
257,492,534
317,570,520
367,634,506
425,714,504
482,804,514
564,876,526
687,920,510
860,920,460
920,920,414
920,918,386
914,886,378
782,886,374
646,850,400
404,884,510
127,834,622
104,552,650
104,196,668
104,104,698
104,128,664
104,272,610
104,330,584
142,324,556
197,366,510
256,452,494
319,540,502
379,610,510
427,668,514
462,722,518
491,800,526
560,882,544
699,890,532
845,888,498
920,860,390
920,846,358
828,844,394
685,858,404
434,854,474
184,830,562
104,580,618
104,182,638
104,114,682
104,140,688
104,224,660
104,274,618
104,294,578
113,316,560
113,316,560
142,350,554
175,402,556
335,642,554
443,740,528
558,862,502
644,914,482
807,920,434
919,920,360
920,920,366
919,902,368
792,872,366
659,834,370
559,822,420
559,822,420
432,858,498
135,614,682
104,176,706
104,104,714
104,156,708
104,262,682
104,308,648
104,318,612
170,430,540
242,522,498
310,600,498
377,668,506
432,746,506
480,838,508
566,912,514
668,920,504
813,920,450
919,920,410
920,920,398
920,918,392
844,912,362
692,898,370
523,912,430
265,910,518
104,728,614
104,364,668
104,154,750
104,130,720
104,216,684
104,288,634
104,310,576
163,374,532
235,472,526
309,564,522
380,620,514
432,690,504
479,748,504
509,824,512
571,910,516
709,920,494
887,920,428
920,920,358
920,904,344
911,884,360
763,888,358
641,908,388
317,920,520
105,860,644
104,380,710
104,104,714
104,134,682
104,268,682
104,308,686
104,260,644
104,284,580
121,386,534
211,496,530
295,578,530
363,642,516
418,706,510
463,788,514
531,890,518
653,920,508
904,920,408
920,920,354
920,920,346
906,900,356
746,874,338
599,866,376
444,856,446
222,842,554
104,636,702
104,206,778
104,106,786
104,176,738
104,252,732
104,268,710
104,288,628
140,358,558
208,454,530
315,576,516
380,644,506
425,700,498
466,768,500
517,870,510
625,918,508
752,920,488
904,920,432
920,920,332
920,918,316
894,906,350
708,890,360
426,884,428
224,864,518
104,702,638
104,292,722
104,108,754
104,152,732
104,226,704
104,272,676
104,272,632
105,314,574
174,416,542
255,514,536
328,590,524
387,664,518
438,734,512
479,828,516
626,918,504
816,920,448
919,920,384
920,920,322
920,908,342
783,884,386
633,860,392
526,830,414
373,824,478
134,736,582
104,454,658
104,178,718
104,120,746
104,188,728
104,248,704
104,248,704
104,270,670
138,384,542
261,524,516
333,606,518
395,678,516
446,754,518
506,848,520
629,912,490
789,920,426
918,920,356
920,920,346
920,918,382
